date,position_cost,position_mtm,position_cost_stock,position_cost_option,position_mtm_stock,position_mtm_option,n_open_lots,n_open_stock_lots,n_open_option_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2025-07-07,1893414.767150879,4842768.132554434,0.0,1893414.767150879,0.0,4842768.132554434,6,0,6,4,0.0,2949353.365403555,2949353.365403555,-35064.51675227983,2949353.365403555
2025-07-08,1893414.767150879,4889082.187538823,0.0,1893414.767150879,0.0,4889082.187538823,6,0,6,4,0.0,2995667.4203879437,2995667.4203879437,46314.05498438887,2995667.4203879437
2025-07-09,1893414.767150879,4973169.267120341,0.0,1893414.767150879,0.0,4973169.267120341,6,0,6,4,0.0,3079754.499969463,3079754.499969463,84087.07958151912,3079754.499969463
2025-07-10,1893414.767150879,4997507.2614036165,0.0,1893414.767150879,0.0,4997507.2614036165,6,0,6,4,0.0,3104092.4942527376,3104092.4942527376,24337.994283274747,3104092.4942527376
2025-07-11,1893414.767150879,5015326.591677352,0.0,1893414.767150879,0.0,5015326.591677352,6,0,6,4,0.0,3121911.824526473,3121911.824526473,17819.330273735337,3121911.824526473
2025-07-14,1893414.767150879,4996795.129708892,0.0,1893414.767150879,0.0,4996795.129708892,6,0,6,4,0.0,3103380.3625580133,3103380.3625580133,-18531.461968459655,3103380.3625580133
2025-07-15,1893414.767150879,5177582.81034868,0.0,1893414.767150879,0.0,5177582.81034868,6,0,6,4,0.0,3284168.0431978023,3284168.0431978023,180787.68063978897,3284168.0431978023
2025-07-16,1893414.767150879,5199005.200431591,0.0,1893414.767150879,0.0,5199005.200431591,6,0,6,4,0.0,3305590.4332807125,3305590.4332807125,21422.39008291019,3305590.4332807125
2025-07-17,1893414.767150879,5248401.740771441,0.0,1893414.767150879,0.0,5248401.740771441,6,0,6,4,0.0,3354986.973620562,3354986.973620562,49396.54033984942,3354986.973620562
2025-07-18,1893414.767150879,5234934.818129291,0.0,1893414.767150879,0.0,5234934.818129291,6,0,6,4,0.0,3341520.050978412,3341520.050978412,-13466.922642149962,3341520.050978412
2025-07-21,1893414.767150879,5208781.158245145,0.0,1893414.767150879,0.0,5208781.158245145,6,0,6,4,0.0,3315366.3910942664,3315366.3910942664,-26153.659884145483,3315366.3910942664
2025-07-22,1893414.767150879,5089755.885943148,0.0,1893414.767150879,0.0,5089755.885943148,6,0,6,4,0.0,3196341.1187922694,3196341.1187922694,-119025.27230199706,3196341.1187922694
2025-07-23,1893414.767150879,5201416.859893463,0.0,1893414.767150879,0.0,5201416.859893463,6,0,6,4,0.0,3308002.0927425846,3308002.0927425846,111660.97395031527,3308002.0927425846
2025-07-24,1893414.767150879,5286241.379650569,0.0,1893414.767150879,0.0,5286241.379650569,6,0,6,4,0.0,3392826.6124996897,3392826.6124996897,84824.51975710504,3392826.6124996897
2025-07-25,1893414.767150879,5282167.4320208365,0.0,1893414.767150879,0.0,5282167.4320208365,6,0,6,4,0.0,3388752.664869957,3388752.664869957,-4073.9476297325455,3388752.664869957
2025-07-28,1893414.767150879,5369908.271282995,0.0,1893414.767150879,0.0,5369908.271282995,6,0,6,4,0.0,3476493.504132117,3476493.504132117,87740.83926216,3476493.504132117
2025-07-29,1893414.767150879,5319879.050356919,0.0,1893414.767150879,0.0,5319879.050356919,6,0,6,4,0.0,3426464.283206041,3426464.283206041,-50029.220926076174,3426464.283206041
2025-07-30,1893414.767150879,5413086.440533518,0.0,1893414.767150879,0.0,5413086.440533518,6,0,6,4,0.0,3519671.6733826394,3519671.6733826394,93207.39017659845,3519671.6733826394
2025-07-31,1893414.767150879,5370061.672868647,0.0,1893414.767150879,0.0,5370061.672868647,6,0,6,4,0.0,3476646.9057177682,3476646.9057177682,-43024.76766487118,3476646.9057177682
2025-08-01,1893414.767150879,5230760.049950401,0.0,1893414.767150879,0.0,5230760.049950401,6,0,6,4,0.0,3337345.2827995224,3337345.2827995224,-139301.62291824585,3337345.2827995224
2025-08-04,1893414.767150879,5402188.931655251,0.0,1893414.767150879,0.0,5402188.931655251,6,0,6,4,0.0,3508774.164504372,3508774.164504372,171428.88170484966,3508774.164504372
2025-08-05,1893414.767150879,5355750.27318847,0.0,1893414.767150879,0.0,5355750.27318847,6,0,6,4,0.0,3462335.5060375906,3462335.5060375906,-46438.65846678149,3462335.5060375906
2025-08-06,1893414.767150879,5396831.642678967,0.0,1893414.767150879,0.0,5396831.642678967,6,0,6,4,0.0,3503416.875528088,3503416.875528088,41081.36949049728,3503416.875528088
2025-08-07,1893414.767150879,5436196.3118999405,0.0,1893414.767150879,0.0,5436196.3118999405,6,0,6,4,0.0,3542781.544749062,3542781.544749062,39364.6692209742,3542781.544749062
2025-08-08,1893414.767150879,5491192.012728524,0.0,1893414.767150879,0.0,5491192.012728524,6,0,6,4,0.0,3597777.245577646,3597777.245577646,54995.70082858391,3597777.245577646
2025-08-11,1893414.767150879,5472806.752109831,0.0,1893414.767150879,0.0,5472806.752109831,6,0,6,4,0.0,3579391.9849589523,3579391.9849589523,-18385.26061869366,3579391.9849589523
2025-08-12,1893414.767150879,5517371.549371594,0.0,1893414.767150879,0.0,5517371.549371594,6,0,6,4,0.0,3623956.7822207147,3623956.7822207147,44564.79726176243,3623956.7822207147
2025-08-13,1893414.767150879,5484129.145966517,0.0,1893414.767150879,0.0,5484129.145966517,6,0,6,4,0.0,3590714.3788156384,3590714.3788156384,-33242.40340507636,3590714.3788156384
2025-08-14,1893414.767150879,5503848.263798502,0.0,1893414.767150879,0.0,5503848.263798502,6,0,6,4,0.0,3610433.496647623,3610433.496647623,19719.117831984535,3610433.496647623
2025-08-15,1893414.767150879,5466975.785146912,0.0,1893414.767150879,0.0,5466975.785146912,6,0,6,4,0.0,3573561.017996034,3573561.017996034,-36872.47865158878,3573561.017996034
2025-08-18,1893414.767150879,5516935.580351872,0.0,1893414.767150879,0.0,5516935.580351872,6,0,6,4,0.0,3623520.8132009935,3623520.8132009935,49959.795204959344,3623520.8132009935
2025-08-19,1893414.767150879,5333859.366887348,0.0,1893414.767150879,0.0,5333859.366887348,6,0,6,4,0.0,3440444.59973647,3440444.59973647,-183076.21346452367,3440444.59973647
2025-08-20,1893414.767150879,5324958.425706052,0.0,1893414.767150879,0.0,5324958.425706052,6,0,6,4,0.0,3431543.658555174,3431543.658555174,-8900.941181296017,3431543.658555174
2025-08-21,1893414.767150879,5315840.843973897,0.0,1893414.767150879,0.0,5315840.843973897,6,0,6,4,0.0,3422426.0768230185,3422426.0768230185,-9117.58173215529,3422426.0768230185
2025-08-22,1893414.767150879,5414270.296728396,0.0,1893414.767150879,0.0,5414270.296728396,6,0,6,4,0.0,3520855.529577516,3520855.529577516,98429.45275449753,3520855.529577516
2025-08-25,1893414.767150879,5454895.571901108,0.0,1893414.767150879,0.0,5454895.571901108,6,0,6,4,0.0,3561480.804750229,3561480.804750229,40625.27517271321,3561480.804750229
2025-08-26,1893414.767150879,5509936.079195715,0.0,1893414.767150879,0.0,5509936.079195715,6,0,6,4,0.0,3616521.312044835,3616521.312044835,55040.50729460595,3616521.312044835
2025-08-27,1893414.767150879,5503500.823817575,0.0,1893414.767150879,0.0,5503500.823817575,6,0,6,4,0.0,3610086.0566666974,3610086.0566666974,-6435.255378137808,3610086.0566666974
2025-08-28,1893414.767150879,5470394.827283679,0.0,1893414.767150879,0.0,5470394.827283679,6,0,6,4,0.0,3576980.0601328006,3576980.0601328006,-33105.996533896774,3576980.0601328006
2025-08-29,1893414.767150879,5306148.334400115,0.0,1893414.767150879,0.0,5306148.334400115,6,0,6,4,0.0,3412733.567249235,3412733.567249235,-164246.49288356537,3412733.567249235
2025-09-02,1893414.767150879,5212563.456722426,0.0,1893414.767150879,0.0,5212563.456722426,6,0,6,4,0.0,3319148.689571548,3319148.689571548,-93584.87767768744,3319148.689571548
2025-09-03,1893414.767150879,5206463.479477451,0.0,1893414.767150879,0.0,5206463.479477451,6,0,6,4,0.0,3313048.712326572,3313048.712326572,-6099.977244975977,3313048.712326572
2025-09-04,1893414.767150879,5249629.0604383405,0.0,1893414.767150879,0.0,5249629.0604383405,6,0,6,4,0.0,3356214.293287461,3356214.293287461,43165.58096088935,3356214.293287461
2025-09-05,1893414.767150879,5122452.222220095,0.0,1893414.767150879,0.0,5122452.222220095,6,0,6,4,0.0,3229037.4550692155,3229037.4550692155,-127176.83821824566,3229037.4550692155
2025-09-08,1893414.767150879,5165044.236914482,0.0,1893414.767150879,0.0,5165044.236914482,6,0,6,4,0.0,3271629.4697636035,3271629.4697636035,42592.014694388025,3271629.4697636035
2025-09-09,1893414.767150879,5236385.8303390145,0.0,1893414.767150879,0.0,5236385.8303390145,6,0,6,4,0.0,3342971.0631881356,3342971.0631881356,71341.5934245321,3342971.0631881356
2025-09-10,1893414.767150879,5402907.934312971,0.0,1893414.767150879,0.0,5402907.934312971,6,0,6,4,0.0,3509493.1671620924,3509493.1671620924,166522.10397395678,3509493.1671620924
2025-09-11,1893414.767150879,5415802.478164771,0.0,1893414.767150879,0.0,5415802.478164771,6,0,6,4,0.0,3522387.711013891,3522387.711013891,12894.5438517984,3522387.711013891
2025-09-12,1893414.767150879,5426241.84763326,0.0,1893414.767150879,0.0,5426241.84763326,6,0,6,4,0.0,3532827.0804823814,3532827.0804823814,10439.369468490593,3532827.0804823814
2025-09-15,1893414.767150879,5429933.38719713,0.0,1893414.767150879,0.0,5429933.38719713,6,0,6,4,0.0,3536518.6200462515,3536518.6200462515,3691.5395638700575,3536518.6200462515
2025-09-16,1893414.767150879,5357244.545814843,0.0,1893414.767150879,0.0,5357244.545814843,6,0,6,4,0.0,3463829.7786639645,3463829.7786639645,-72688.84138228698,3463829.7786639645
2025-09-17,1893414.767150879,5228952.926704158,0.0,1893414.767150879,0.0,5228952.926704158,6,0,6,4,0.0,3335538.1595532787,3335538.1595532787,-128291.61911068577,3335538.1595532787
2025-09-18,1893414.767150879,5394681.119865688,0.0,1893414.767150879,0.0,5394681.119865688,6,0,6,4,0.0,3501266.3527148077,3501266.3527148077,165728.19316152902,3501266.3527148077
2025-09-19,1893414.767150879,5410519.456538116,0.0,1893414.767150879,0.0,5410519.456538116,6,0,6,4,0.0,3517104.689387236,3517104.689387236,15838.336672428064,3517104.689387236
2025-09-22,1893414.767150879,5592778.737731806,0.0,1893414.767150879,0.0,5592778.737731806,6,0,6,4,0.0,3699363.970580927,3699363.970580927,182259.2811936913,3699363.970580927
2025-09-23,1893414.767150879,5436215.523798914,0.0,1893414.767150879,0.0,5436215.523798914,6,0,6,4,0.0,3542800.756648035,3542800.756648035,-156563.2139328923,3542800.756648035
2025-09-24,1893414.767150879,5385940.104534382,0.0,1893414.767150879,0.0,5385940.104534382,6,0,6,4,0.0,3492525.3373835036,3492525.3373835036,-50275.41926453123,3492525.3373835036
2025-09-25,1893414.767150879,5401498.068083381,0.0,1893414.767150879,0.0,5401498.068083381,6,0,6,4,0.0,3508083.3009325033,3508083.3009325033,15557.963548999745,3508083.3009325033
2025-09-26,1893414.767150879,5419016.152905054,0.0,1893414.767150879,0.0,5419016.152905054,6,0,6,4,0.0,3525601.385754175,3525601.385754175,17518.084821671713,3525601.385754175
2025-09-29,1893414.767150879,5523533.185241435,0.0,1893414.767150879,0.0,5523533.185241435,6,0,6,4,0.0,3630118.4180905554,3630118.4180905554,104517.03233638033,3630118.4180905554
2025-09-30,1893414.767150879,5653424.553241147,0.0,1893414.767150879,0.0,5653424.553241147,6,0,6,4,0.0,3760009.786090268,3760009.786090268,129891.36799971247,3760009.786090268
2025-10-01,1893414.767150879,5686613.776806711,0.0,1893414.767150879,0.0,5686613.776806711,6,0,6,4,0.0,3793199.0096558323,3793199.0096558323,33189.22356556449,3793199.0096558323
2025-10-02,1893414.767150879,5737893.844959086,0.0,1893414.767150879,0.0,5737893.844959086,6,0,6,4,0.0,3844479.0778082064,3844479.0778082064,51280.06815237412,3844479.0778082064
2025-10-03,1893414.767150879,5701816.713091604,0.0,1893414.767150879,0.0,5701816.713091604,6,0,6,4,0.0,3808401.945940725,3808401.945940725,-36077.131867481396,3808401.945940725
2025-10-06,1893414.767150879,5652689.754488319,0.0,1893414.767150879,0.0,5652689.754488319,6,0,6,4,0.0,3759274.9873374384,3759274.9873374384,-49126.95860328665,3759274.9873374384
2025-10-07,1893414.767150879,5638696.273138043,0.0,1893414.767150879,0.0,5638696.273138043,6,0,6,4,0.0,3745281.5059871627,3745281.5059871627,-13993.481350275688,3745281.5059871627
2025-10-08,1893414.767150879,5775551.215379791,0.0,1893414.767150879,0.0,5775551.215379791,6,0,6,4,0.0,3882136.4482289124,3882136.4482289124,136854.94224174973,3882136.4482289124
2025-10-09,1893414.767150879,5865138.196173968,0.0,1893414.767150879,0.0,5865138.196173968,6,0,6,4,0.0,3971723.4290230894,3971723.4290230894,89586.98079417692,3971723.4290230894
2025-10-10,1893414.767150879,5584313.250891503,0.0,1893414.767150879,0.0,5584313.250891503,6,0,6,4,0.0,3690898.483740623,3690898.483740623,-280824.94528246624,3690898.483740623
2025-10-13,1893414.767150879,5730728.725531197,0.0,1893414.767150879,0.0,5730728.725531197,6,0,6,4,0.0,3837313.958380318,3837313.958380318,146415.47463969467,3837313.958380318
2025-10-14,1893414.767150879,5487461.6254945155,0.0,1893414.767150879,0.0,5487461.6254945155,6,0,6,4,0.0,3594046.8583436375,3594046.8583436375,-243267.10003668023,3594046.8583436375
2025-10-15,1893414.767150879,5483581.26095158,0.0,1893414.767150879,0.0,5483581.26095158,6,0,6,4,0.0,3590166.4938007006,3590166.4938007006,-3880.364542936906,3590166.4938007006
2025-10-16,1893414.767150879,5534336.082244647,0.0,1893414.767150879,0.0,5534336.082244647,6,0,6,4,0.0,3640921.3150937688,3640921.3150937688,50754.82129306812,3640921.3150937688
