date,ticker,daily_pnl,cum_pnl
2023-07-05,AVGO,0.0,0.0
2023-07-05,DIS,0.0,0.0
2023-07-05,GOOGL,0.0,0.0
2023-07-05,MSFT,229.83323904299505,-14291.840290538761
2023-07-05,NVDA,0.0,0.0
2023-07-05,PANW,0.0,0.0
2023-07-05,PYPL,0.0,0.0
2023-07-05,TEM,0.0,0.0
2023-07-05,V,0.0,0.0
2023-07-05,VSNT,0.0,0.0
2023-07-05,VST,0.0,0.0
2023-07-06,AAPL,9295.70741761633,521114.32635957917
2023-07-06,AB,0.0,0.0
2023-07-06,AMZN,0.0,0.0
2023-07-06,AVGO,0.0,0.0
2023-07-06,DIS,0.0,0.0
2023-07-06,GOOGL,0.0,0.0
2023-07-06,MSFT,4481.478930678952,-9810.36135985981
2023-07-06,NVDA,0.0,0.0
2023-07-06,PANW,0.0,0.0
2023-07-06,PYPL,0.0,0.0
2023-07-06,TEM,0.0,0.0
2023-07-06,V,0.0,0.0
2023-07-06,VSNT,0.0,0.0
2023-07-06,VST,0.0,0.0
2023-07-07,AAPL,-21884.9617946152,499229.36456496397
2023-07-07,AB,0.0,0.0
2023-07-07,AMZN,0.0,0.0
2023-07-07,AVGO,0.0,0.0
2023-07-07,DIS,0.0,0.0
2023-07-07,GOOGL,0.0,0.0
2023-07-07,MSFT,-5817.311715979426,-15627.673075839235
2023-07-07,NVDA,0.0,0.0
2023-07-07,PANW,0.0,0.0
2023-07-07,PYPL,0.0,0.0
2023-07-07,TEM,0.0,0.0
2023-07-07,V,0.0,0.0
2023-07-07,VSNT,0.0,0.0
2023-07-07,VST,0.0,0.0
2023-07-10,AAPL,-40089.21780248615,459140.1467624778
2023-07-10,AB,0.0,0.0
2023-07-10,AMZN,0.0,0.0
2023-07-10,AVGO,0.0,0.0
2023-07-10,DIS,0.0,0.0
2023-07-10,GOOGL,0.0,0.0
2023-07-10,MSFT,-7742.086567355453,-23369.759643194688
2023-07-10,NVDA,0.0,0.0
2023-07-10,PANW,0.0,0.0
2023-07-10,PYPL,0.0,0.0
2023-07-10,TEM,0.0,0.0
2023-07-10,V,0.0,0.0
2023-07-10,VSNT,0.0,0.0
2023-07-10,VST,0.0,0.0
2023-07-11,AAPL,-10263.904144552886,448876.24261792493
2023-07-11,AB,0.0,0.0
2023-07-11,AMZN,0.0,0.0
2023-07-11,AVGO,0.0,0.0
2023-07-11,DIS,0.0,0.0
2023-07-11,GOOGL,0.0,0.0
2023-07-11,MSFT,919.3329561718165,-22450.42668702287
2023-07-11,NVDA,0.0,0.0
2023-07-11,PANW,0.0,0.0
2023-07-11,PYPL,0.0,0.0
2023-07-11,TEM,0.0,0.0
2023-07-11,V,0.0,0.0
2023-07-11,VSNT,0.0,0.0
2023-07-11,VST,0.0,0.0
2023-07-12,AAPL,32730.20349727961,481606.44611520454
2023-07-12,AB,0.0,0.0
2023-07-12,AMZN,0.0,0.0
2023-07-12,AVGO,0.0,0.0
2023-07-12,DIS,0.0,0.0
2023-07-12,GOOGL,0.0,0.0
2023-07-12,MSFT,6794.12541780028,-15656.301269222591
2023-07-12,NVDA,0.0,0.0
2023-07-12,PANW,0.0,0.0
2023-07-12,PYPL,0.0,0.0
2023-07-12,TEM,0.0,0.0
2023-07-12,V,0.0,0.0
2023-07-12,VSNT,0.0,0.0
2023-07-12,VST,0.0,0.0
2023-07-13,AAPL,14911.907682628196,496518.35379783274
2023-07-13,AB,0.0,0.0
2023-07-13,AMZN,0.0,0.0
2023-07-13,AVGO,0.0,0.0
2023-07-13,DIS,0.0,0.0
2023-07-13,GOOGL,0.0,0.0
2023-07-13,MSFT,7842.509603079445,-7813.791666143146
2023-07-13,NVDA,0.0,0.0
2023-07-13,PANW,0.0,0.0
2023-07-13,PYPL,0.0,0.0
2023-07-13,TEM,0.0,0.0
2023-07-13,V,0.0,0.0
2023-07-13,VSNT,0.0,0.0
2023-07-13,VST,0.0,0.0
2023-07-14,AAPL,2905.189497881569,499423.5432957143
2023-07-14,AB,0.0,0.0
2023-07-14,AMZN,0.0,0.0
2023-07-14,AVGO,0.0,0.0
2023-07-14,DIS,0.0,0.0
2023-07-14,GOOGL,0.0,0.0
2023-07-14,MSFT,3705.8702745177898,-4107.921391625357
2023-07-14,NVDA,0.0,0.0
2023-07-14,PANW,0.0,0.0
2023-07-14,PYPL,0.0,0.0
2023-07-14,TEM,0.0,0.0
2023-07-14,V,0.0,0.0
2023-07-14,VSNT,0.0,0.0
2023-07-14,VST,0.0,0.0
2023-07-17,AAPL,63911.47202658118,563335.0153222955
2023-07-17,AB,0.0,0.0
2023-07-17,AMZN,0.0,0.0
2023-07-17,AVGO,0.0,0.0
2023-07-17,DIS,0.0,0.0
2023-07-17,GOOGL,0.0,0.0
2023-07-17,MSFT,703.8138138205263,-3404.1075778048303
2023-07-17,NVDA,0.0,0.0
2023-07-17,PANW,0.0,0.0
2023-07-17,PYPL,0.0,0.0
2023-07-17,TEM,0.0,0.0
2023-07-17,V,0.0,0.0
2023-07-17,VSNT,0.0,0.0
2023-07-17,VST,0.0,0.0
2023-07-18,AAPL,-5036.36099957698,558298.6543227185
2023-07-18,AB,0.0,0.0
2023-07-18,AMZN,0.0,0.0
2023-07-18,AVGO,0.0,0.0
2023-07-18,DIS,0.0,0.0
2023-07-18,GOOGL,0.0,0.0
2023-07-18,MSFT,19764.357276177332,16360.249698372503
2023-07-18,NVDA,0.0,0.0
2023-07-18,PANW,0.0,0.0
2023-07-18,PYPL,0.0,0.0
2023-07-18,TEM,0.0,0.0
2023-07-18,V,0.0,0.0
2023-07-18,VSNT,0.0,0.0
2023-07-18,VST,0.0,0.0
2023-07-19,AAPL,26532.96533269016,584831.6196554087
2023-07-19,AB,0.0,0.0
2023-07-19,AMZN,0.0,0.0
2023-07-19,AVGO,0.0,0.0
2023-07-19,DIS,0.0,0.0
2023-07-19,GOOGL,0.0,0.0
2023-07-19,MSFT,-6334.369196161459,10025.880502211045
2023-07-19,NVDA,0.0,0.0
2023-07-19,PANW,0.0,0.0
2023-07-19,PYPL,0.0,0.0
2023-07-19,TEM,0.0,0.0
2023-07-19,V,0.0,0.0
2023-07-19,VSNT,0.0,0.0
2023-07-19,VST,0.0,0.0
2023-07-20,AAPL,-38153.12400714669,546678.495648262
2023-07-20,AB,0.0,0.0
2023-07-20,AMZN,0.0,0.0
2023-07-20,AVGO,0.0,0.0
2023-07-20,DIS,0.0,0.0
2023-07-20,GOOGL,0.0,0.0
2023-07-20,MSFT,-11792.57208510827,-1766.6915828972246
2023-07-20,NVDA,0.0,0.0
2023-07-20,PANW,0.0,0.0
2023-07-20,PYPL,0.0,0.0
2023-07-20,TEM,0.0,0.0
2023-07-20,V,0.0,0.0
2023-07-20,VSNT,0.0,0.0
2023-07-20,VST,0.0,0.0
2023-07-21,AAPL,-23046.13861816231,523632.35703009967
2023-07-21,AB,0.0,0.0
2023-07-21,AMZN,0.0,0.0
2023-07-21,AVGO,0.0,0.0
2023-07-21,DIS,0.0,0.0
2023-07-21,GOOGL,0.0,0.0
2023-07-21,MSFT,-4452.760993742708,-6219.452576639933
2023-07-21,NVDA,0.0,0.0
2023-07-21,PANW,0.0,0.0
2023-07-21,PYPL,0.0,0.0
2023-07-21,TEM,0.0,0.0
2023-07-21,V,0.0,0.0
2023-07-21,VSNT,0.0,0.0
2023-07-21,VST,0.0,0.0
2023-07-24,AAPL,15687.124312955712,539319.4813430554
2023-07-24,AB,0.0,0.0
2023-07-24,AMZN,0.0,0.0
2023-07-24,AVGO,0.0,0.0
2023-07-24,DIS,0.0,0.0
2023-07-24,GOOGL,0.0,0.0
2023-07-24,MSFT,1924.6851078230866,-4294.767468816846
2023-07-24,NVDA,0.0,0.0
2023-07-24,PANW,0.0,0.0
2023-07-24,PYPL,0.0,0.0
2023-07-24,TEM,0.0,0.0
2023-07-24,V,0.0,0.0
2023-07-24,VSNT,0.0,0.0
2023-07-24,VST,0.0,0.0
2023-07-25,AAPL,16848.900453573442,556168.3817966288
2023-07-25,AB,0.0,0.0
2023-07-25,AMZN,0.0,0.0
2023-07-25,AVGO,0.0,0.0
2023-07-25,DIS,0.0,0.0
2023-07-25,GOOGL,0.0,0.0
2023-07-25,MSFT,8431.541412707886,4136.773943891039
2023-07-25,NVDA,0.0,0.0
2023-07-25,PANW,0.0,0.0
2023-07-25,PYPL,0.0,0.0
2023-07-25,TEM,0.0,0.0
2023-07-25,V,0.0,0.0
2023-07-25,VSNT,0.0,0.0
2023-07-25,VST,0.0,0.0
2023-07-26,AAPL,17043.079184323782,573211.4609809526
2023-07-26,AB,0.0,0.0
2023-07-26,AMZN,0.0,0.0
2023-07-26,AVGO,0.0,0.0
2023-07-26,DIS,0.0,0.0
2023-07-26,GOOGL,0.0,0.0
2023-07-26,MSFT,-18974.43452332452,-14837.660579433481
2023-07-26,NVDA,0.0,0.0
2023-07-26,PANW,0.0,0.0
2023-07-26,PYPL,0.0,0.0
2023-07-26,TEM,0.0,0.0
2023-07-26,V,0.0,0.0
2023-07-26,VSNT,0.0,0.0
2023-07-26,VST,0.0,0.0
2023-07-27,AAPL,-24789.252316891216,548422.2086640614
2023-07-27,AB,0.0,0.0
2023-07-27,AMZN,0.0,0.0
2023-07-27,AVGO,0.0,0.0
2023-07-27,DIS,0.0,0.0
2023-07-27,GOOGL,0.0,0.0
2023-07-27,MSFT,-10126.43815326442,-24964.0987326979
2023-07-27,NVDA,0.0,0.0
2023-07-27,PANW,0.0,0.0
2023-07-27,PYPL,0.0,0.0
2023-07-27,TEM,0.0,0.0
2023-07-27,V,0.0,0.0
2023-07-27,VSNT,0.0,0.0
2023-07-27,VST,0.0,0.0
2023-07-28,AAPL,50547.60033632524,598969.8090003866
2023-07-28,AB,0.0,0.0
2023-07-28,AMZN,0.0,0.0
2023-07-28,AVGO,0.0,0.0
2023-07-28,DIS,0.0,0.0
2023-07-28,GOOGL,0.0,0.0
2023-07-28,MSFT,10988.200620234365,-13975.898112463536
