date,position_cost,position_mtm,n_open_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2024-11-20,4350007.0,7233383.344935539,7,4,0.0,2883376.344935539,2883376.344935539,-38447.44011342339,2883376.344935539
2024-11-21,4350007.0,7260258.220442463,7,4,0.0,2910251.2204424636,2910251.2204424636,26874.875506924465,2910251.2204424636
2024-11-22,4350007.0,7090466.6392917,7,4,0.0,2740459.6392917014,2740459.6392917014,-169791.58115076227,2740459.6392917014
2024-11-25,4350007.0,6883157.174668775,7,4,0.0,2533150.174668776,2533150.174668776,-207309.4646229255,2533150.174668776
2024-11-26,4350007.0,6926812.737765406,7,4,0.0,2576805.7377654077,2576805.7377654077,43655.563096631784,2576805.7377654077
2024-11-27,4350007.0,6867293.478461139,7,4,0.0,2517286.4784611394,2517286.4784611394,-59519.259304268286,2517286.4784611394
2024-11-29,4350007.0,6986872.673693236,7,4,0.0,2636865.673693236,2636865.673693236,119579.1952320966,2636865.673693236
2024-12-02,4350007.0,7011459.099737909,7,4,0.0,2661452.099737908,2661452.099737908,24586.426044672262,2661452.099737908
2024-12-03,4350007.0,7086347.320226011,7,4,0.0,2736340.320226012,2736340.320226012,74888.22048810357,2736340.320226012
2024-12-04,4350007.0,7269986.469207529,7,4,0.0,2919979.469207529,2919979.469207529,183639.14898151718,2919979.469207529
2024-12-05,4350007.0,7267514.861731563,7,4,0.0,2917507.8617315637,2917507.8617315637,-2471.607475965284,2917507.8617315637
2024-12-06,4350007.0,7168883.693762558,7,4,0.0,2818876.693762557,2818876.693762557,-98631.16796900658,2818876.693762557
2024-12-09,4350007.0,7051528.722002547,7,4,0.0,2701521.722002548,2701521.722002548,-117354.97176000895,2701521.722002548
2024-12-10,4350007.0,6916751.32934477,7,4,0.0,2566744.32934477,2566744.32934477,-134777.39265777823,2566744.32934477
2024-12-11,4350007.0,7068977.142344823,7,4,0.0,2718970.142344824,2718970.142344824,152225.8130000541,2718970.142344824
2024-12-12,4350007.0,7002283.483526813,7,4,0.0,2652276.483526814,2652276.483526814,-66693.65881801024,2652276.483526814
2024-12-13,4350007.0,6887829.712928284,7,4,0.0,2537822.7129282844,2537822.7129282844,-114453.77059852937,2537822.7129282844
2024-12-16,4350007.0,6817330.887637816,7,4,0.0,2467323.887637818,2467323.887637818,-70498.8252904662,2467323.887637818
2024-12-17,4350007.0,6768534.270901034,7,4,0.0,2418527.270901034,2418527.270901034,-48796.61673678411,2418527.270901034
2024-12-18,4350007.0,6688313.398679472,7,4,0.0,2338306.3986794725,2338306.3986794725,-80220.87222156161,2338306.3986794725
