date,position_cost,position_mtm,position_cost_stock,position_cost_option,position_mtm_stock,position_mtm_option,n_open_lots,n_open_stock_lots,n_open_option_lots,n_tickers,realized_pnl,unrealized_pnl,total_pnl,daily_pnl,cum_pnl
2025-06-30,22806077.370300293,28821929.672030237,4150010.0,18656067.370300293,5251242.60980054,23570687.062229693,21,10,11,7,1757615.369988533,6015852.301729941,7773467.671718474,219815.4600388864,7773467.671718474
2025-07-01,22806077.370300293,28199918.359674536,4150010.0,18656067.370300293,5168496.411993139,23031421.947681397,21,10,11,7,1757615.369988533,5393840.989374244,7151456.359362776,-622011.3123556972,7151456.359362776
2025-07-02,22806077.370300293,28778531.441841178,4150010.0,18656067.370300293,5270257.27149121,23508274.17034997,21,10,11,7,1757615.369988533,5972454.071540886,7730069.441529418,578613.082166642,7730069.441529418
2025-07-03,22806077.370300293,29117954.519673936,4150010.0,18656067.370300293,5322269.858770892,23795684.660903037,21,10,11,7,1757615.369988533,6311877.149373634,8069492.5193621665,339423.0778327482,8069492.5193621665
2025-07-07,22806077.370300293,28920052.351567782,4150010.0,18656067.370300293,5283139.586936407,23636912.76463137,21,10,11,7,1757615.369988533,6113974.98126748,7871590.351256013,-197902.1681061536,7871590.351256013
2025-07-08,22806077.370300293,29036836.492143806,4150010.0,18656067.370300293,5314805.29758129,23722031.19456251,21,10,11,7,1757615.369988533,6230759.121843505,7988374.491832037,116784.14057602454,7988374.491832037
2025-07-09,22806077.370300293,29469621.065439735,4150010.0,18656067.370300293,5382761.742762794,24086859.32267694,21,10,11,7,1757615.369988533,6663543.695139438,8421159.06512797,432784.5732959332,8421159.06512797
2025-07-10,22806077.370300293,29563595.220193513,4150010.0,18656067.370300293,5413336.975073364,24150258.245120145,21,10,11,7,1757615.369988533,6757517.849893214,8515133.219881747,93974.15475377627,8515133.219881747
2025-07-11,22806077.370300293,29605510.11311911,4150010.0,18656067.370300293,5427553.09624951,24177957.016869605,21,10,11,7,1757615.369988533,6799432.742818822,8557048.112807356,41914.8929256089,8557048.112807356
2025-07-14,22806077.370300293,29498374.728070233,4150010.0,18656067.370300293,5399149.051576472,24099225.67649376,21,10,11,7,1757615.369988533,6692297.357769935,8449912.727758469,-107135.38504888676,8449912.727758469
2025-07-15,22806077.370300293,30265021.403410904,4150010.0,18656067.370300293,5538188.587996448,24726832.81541445,21,10,11,7,1757615.369988533,7458944.033110606,9216559.403099138,766646.6753406692,9216559.403099138
2025-07-16,22806077.370300293,30341340.964970086,4150010.0,18656067.370300293,5553157.37266743,24788183.59230265,21,10,11,7,1757615.369988533,7535263.594669785,9292878.964658318,76319.5615591798,9292878.964658318
2025-07-17,22806077.370300293,30611989.919484958,4150010.0,18656067.370300293,5586743.005828102,25025246.913656857,21,10,11,7,1757615.369988533,7805912.549184665,9563527.919173198,270648.95451487973,9563527.919173198
2025-07-18,22806077.370300293,30520214.73575973,4150010.0,18656067.370300293,5582581.184855902,24937633.55090383,21,10,11,7,1757615.369988533,7714137.365459437,9471752.73544797,-91775.18372522853,9471752.73544797
2025-07-21,22806077.370300293,30548888.03080192,4150010.0,18656067.370300293,5571095.959695329,24977792.071106587,21,10,11,7,1757615.369988533,7742810.66050162,9500426.030490153,28673.29504218325,9500426.030490153
2025-07-22,22806077.370300293,29964891.246603776,4150010.0,18656067.370300293,5488622.953019003,24476268.29358477,21,10,11,7,1757615.369988533,7158813.876303482,8916429.246292016,-583996.784198137,8916429.246292016
2025-07-23,22806077.370300293,30430584.550265435,4150010.0,18656067.370300293,5565342.297094328,24865242.2531711,21,10,11,7,1757615.369988533,7624507.179965138,9382122.549953671,465693.30366165563,9382122.549953671
2025-07-24,22806077.370300293,30821739.465769235,4150010.0,18656067.370300293,5628790.125186912,25192949.34058232,21,10,11,7,1757615.369988533,8015662.095468934,9773277.465457467,391154.9155037962,9773277.465457467
2025-07-25,22806077.370300293,30827998.561593607,4150010.0,18656067.370300293,5623513.766668639,25204484.79492497,21,10,11,7,1757615.369988533,8021921.191293318,9779536.56128185,6259.095824383199,9779536.56128185
2025-07-28,22806077.370300293,31234665.738279097,4150010.0,18656067.370300293,5692524.463033036,25542141.275246058,21,10,11,7,1757615.369988533,8428588.3679788,10186203.737967333,406667.17668548226,10186203.737967333
2025-07-29,22806077.370300293,31116796.15722371,4150010.0,18656067.370300293,5652197.834342829,25464598.32288088,21,10,11,7,1757615.369988533,8310718.786923412,10068334.156911945,-117869.58105538785,10068334.156911945
2025-07-30,22806077.370300293,31543158.320629966,4150010.0,18656067.370300293,5718138.484969183,25825019.83566079,21,10,11,7,1757615.369988533,8737080.950329674,10494696.320318207,426362.1634062622,10494696.320318207
2025-07-31,22806077.370300293,31208706.80861467,4150010.0,18656067.370300293,5687079.166439242,25521627.642175432,21,10,11,7,1757615.369988533,8402629.438314378,10160244.808302911,-334451.51201529615,10160244.808302911
2025-08-01,22806077.370300293,30555649.653186,4150010.0,18656067.370300293,5555734.863624241,24999914.789561756,21,10,11,7,1757615.369988533,7749572.2828857,9507187.652874233,-653057.1554286778,9507187.652874233
2025-08-04,22806077.370300293,31363147.59678427,4150010.0,18656067.370300293,5685495.21378351,25677652.383000754,21,10,11,7,1757615.369988533,8557070.226483969,10314685.596472502,807497.9435982686,10314685.596472502
2025-08-05,22806077.370300293,31093884.82643267,4150010.0,18656067.370300293,5650222.284890357,25443662.541542314,21,10,11,7,1757615.369988533,8287807.456132376,10045422.82612091,-269262.77035159245,10045422.82612091
2025-08-06,22806077.370300293,31603019.401106656,4150010.0,18656067.370300293,5731573.2308643395,25871446.17024231,21,10,11,7,1757615.369988533,8796942.030806353,10554557.400794886,509134.57467397675,10554557.400794886
2025-08-07,22806077.370300293,31911309.423102878,4150010.0,18656067.370300293,5791535.194660651,26119774.22844223,21,10,11,7,1757615.369988533,9105232.052802585,10862847.422791118,308290.02199623175,10862847.422791118
2025-08-08,22806077.370300293,32305694.16421104,4150010.0,18656067.370300293,5873683.87126133,26432010.29294971,21,10,11,7,1757615.369988533,9499616.793910746,11257232.163899278,394384.74110816047,11257232.163899278
2025-08-11,22806077.370300293,32181137.28893441,4150010.0,18656067.370300293,5850123.723262328,26331013.565672074,21,10,11,7,1757615.369988533,9375059.91863411,11132675.288622642,-124556.87527663633,11132675.288622642
2025-08-12,22806077.370300293,32515217.006267596,4150010.0,18656067.370300293,5884310.6777683245,26630906.32849927,21,10,11,7,1757615.369988533,9709139.6359673,11466755.005955832,334079.71733319014,11466755.005955832
2025-08-13,22806077.370300293,32366235.348762173,4150010.0,18656067.370300293,5872670.189848162,26493565.15891401,21,10,11,7,1757615.369988533,9560157.978461875,11317773.348450407,-148981.6575054247,11317773.348450407
2025-08-14,22806077.370300293,32454876.499734472,4150010.0,18656067.370300293,5886318.227297965,26568558.2724365,21,10,11,7,1757615.369988533,9648799.129434168,11406414.499422701,88641.15097229369,11406414.499422701
2025-08-15,22806077.370300293,32180675.48050611,4150010.0,18656067.370300293,5848662.1183827035,26332013.362123407,21,10,11,7,1757615.369988533,9374598.11020581,11132213.480194343,-274201.0192283578,11132213.480194343
2025-08-18,22806077.370300293,32309278.7298592,4150010.0,18656067.370300293,5877956.444641985,26431322.285217207,21,10,11,7,1757615.369988533,9503201.359558897,11260816.72954743,128603.24935308658,11260816.72954743
2025-08-19,22806077.370300293,31455172.36175546,4150010.0,18656067.370300293,5741751.061564644,25713421.300190814,21,10,11,7,1757615.369988533,8649094.991455162,10406710.361443695,-854106.3681037351,10406710.361443695
2025-08-20,22806077.370300293,31258546.558437034,4150010.0,18656067.370300293,5710960.189633937,25547586.3688031,21,10,11,7,1757615.369988533,8452469.188136743,10210084.558125276,-196625.80331841856,10210084.558125276
2025-08-21,22806077.370300293,31160180.83092099,4150010.0,18656067.370300293,5695073.986825968,25465106.844095014,21,10,11,7,1757615.369988533,8354103.46062069,10111718.830609223,-98365.72751605324,10111718.830609223
2025-08-22,22806077.370300293,31614314.797333136,4150010.0,18656067.370300293,5777964.802353293,25836349.99497984,21,10,11,7,1757615.369988533,8808237.427032838,10565852.79702137,454133.9664121475,10565852.79702137
2025-08-25,22806077.370300293,31783326.455539163,4150010.0,18656067.370300293,5811494.486171072,25971831.969368093,21,10,11,7,1757615.369988533,8977249.08523887,10734864.455227403,169011.6582060326,10734864.455227403
2025-08-26,22806077.370300293,32094332.872142196,4150010.0,18656067.370300293,5862533.387259198,26231799.484882988,21,10,11,7,1757615.369988533,9288255.501841892,11045870.871830424,311006.4166030213,11045870.871830424
2025-08-27,22806077.370300293,32146277.323474683,4150010.0,18656067.370300293,5864974.463204572,26281302.86027011,21,10,11,7,1757615.369988533,9340199.953174386,11097815.323162919,51944.45133249462,11097815.323162919
2025-08-28,22806077.370300293,32219493.352306142,4150010.0,18656067.370300293,5848058.851554581,26371434.50075156,21,10,11,7,1757615.369988533,9413415.982005846,11171031.351994378,73216.02883145958,11171031.351994378
