trade_id,person,doc_id,txn_num,owner,asset_name,action,transaction_date,disclosure_date,amount_min,amount_max,asset_class,ticker,source_doc,entry_price,disclosure_price,reveal_lag_days,return_to_disclosure,return_post_disclosure_1d,return_post_disclosure_5d,return_post_disclosure_20d,fifo_holding_days
ff5a7fbab46e,Nancy Pelosi,pelosi_ptr_20026590,7,SP,"Tempus AI, Inc. - Class A Common",purchase,2025-01-14,2025-01-17,50001.0,100000.0,equity,TEM,pelosi_ptr_20026590.pdf,31.829999923706055,35.150001525878906,3,0.10430416619951706,0.35533420545014405,0.4753911339710769,1.3314365118279485,
78224697a696,Nancy Pelosi,pelosi_ptr_20026590,4,,GOOGL,purchase,2025-01-14,2025-01-17,,,equity,GOOGL,pelosi_ptr_20026590.pdf,188.78721618652344,195.09800720214844,3,0.03342806331436066,0.010459377145666925,-0.021377382958769644,-0.062397822358507306,
43ec97260915,Nancy Pelosi,pelosi_ptr_20026590,1,SP,"Amazon.com, Inc. - Common Stock",purchase,2025-01-14,2025-01-17,250001.0,500000.0,equity,AMZN,pelosi_ptr_20026590.pdf,217.75999450683594,225.94000244140625,3,0.03756432834734263,0.02111181827440211,0.0419580225949477,0.0031423893396754716,
9f69cd269888,Nancy Pelosi,pelosi_ptr_20026590,3,SP,NVIDIA Corporation - Common,purchase,2025-01-14,2025-01-17,250001.0,500000.0,equity,NVDA,pelosi_ptr_20026590.pdf,131.71682739257812,137.66490173339844,3,0.04515804440910387,0.022656267058981445,-0.14007703607412408,0.012272103091917353,
d7dbca2f0838,Nancy Pelosi,pelosi_ptr_20026590,5,,NVIDIA Corporation - Common,purchase,2024-12-20,2025-01-17,250001.0,500000.0,equity,NVDA,pelosi_ptr_20026590.pdf,134.65586853027344,137.66490173339844,28,0.022346097767350605,0.022656267058981445,-0.14007703607412408,0.012272103091917353,
1e1007b3b3a0,Nancy Pelosi,pelosi_ptr_20026590,2,SP,NVIDIA Corporation - Common,sale,2024-12-31,2025-01-17,1000001.0,5000000.0,equity,NVDA,pelosi_ptr_20026590.pdf,134.2460174560547,137.66490173339844,17,-0.025467305042869662,-0.022656267058981445,0.14007703607412408,-0.012272103091917353,188.0
e8e82b7e6641,Nancy Pelosi,pelosi_ptr_20030630,2,,AVGO,sale,2025-06-20,2025-07-09,,,equity,AVGO,pelosi_ptr_20030630.pdf,248.5644073486328,276.31524658203125,19,-0.11164446080357561,0.008996169553951062,-0.010471270108405975,-0.08553440587000781,359.0
e309ba775f30,Nancy Pelosi,pelosi_ptr_20033725,4,,AB,purchase,2026-01-16,2026-01-23,,,equity,AB,pelosi_ptr_20033725.pdf,38.40793228149414,37.251007080078125,7,-0.030122038149224966,0.07494863354581732,0.09188922049972105,0.00961533735144076,
01d8b4a71804,Nancy Pelosi,pelosi_ptr_20033725,11,,NVDA,purchase,2026-01-16,2026-01-23,,,equity,NVDA,pelosi_ptr_20033725.pdf,186.21990966796875,187.6598358154297,7,0.007732396337364435,-0.006394126101000327,0.01843667609195449,0.02067467714493057,
e576b61ca270,Nancy Pelosi,pelosi_ptr_20033725,10,,AMZN,purchase,2025-12-30,2026-01-23,,,equity,AMZN,pelosi_ptr_20033725.pdf,232.52999877929688,239.16000366210938,24,0.028512471154766107,-0.0030941858246898127,0.000585379609904304,-0.14170429365576107,
